# FRAME,TIME,DISTANCE,TOTALTIME,TOTALDISTANCE,SEGMENTNUM,SECTOR,MARKERS,MARKERTIME,MARKERFLAG,POSITIONX,POSITIONY,POSITIONZ,ROTATIONX,ROTATIONY,ROTATIONZ,STEERINGANGLE,THROTTLE,BRAKEPRESSURE,GEAR,SPEED,RAWSTEER,RAWTHROTTLE,RAWBRAKE,AUTOMATICGEAR,AERODRSPOSITION
# n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,bar,,km/h,,,,,%
169630.00000,0.92000,123.26170,339.26000,20982.54000,2.00000,0.00000,0.00000,0.00000,0.00000,540.17698,140.55930,2335.83834,-2.08411,131.85640,1.20173,6.39000,56.50119,0.00000,1.00000,143.96620,0.00000,0.00000,0.00000,4.00000,0.00000
169640.00000,0.94000,126.14100,339.28000,20983.35000,2.00000,0.00000,0.00000,0.00000,0.00000,540.76071,140.59450,2335.32185,-2.12805,132.03120,1.25416,5.82000,56.50119,0.00000,1.00000,143.96620,0.00000,0.00000,0.00000,4.00000,0.00000
169650.00000,0.96000,129.07060,339.30000,20984.16000,2.00000,0.00000,0.00000,0.00000,0.00000,541.34092,140.62990,2334.80706,-2.16504,132.17330,1.27793,5.26500,56.50119,0.00000,1.00000,146.48160,0.00000,0.00000,0.00000,4.00000,0.00000
169660.00000,0.98000,132.00030,339.32000,20984.97000,2.00000,0.00000,0.00000,0.00000,0.00000,541.91765,140.66570,2334.29382,-2.19699,132.27870,1.35260,4.68000,56.50119,0.00000,1.00000,146.48160,0.00000,0.00000,0.00000,4.00000,0.00000
169670.00000,1.00000,134.92990,339.34000,20985.79000,2.00000,0.00000,0.00000,0.00000,0.00000,542.49210,140.70220,2333.78100,-2.22626,132.36770,1.40653,4.08000,56.50119,0.00000,1.00000,146.48160,0.00000,0.00000,0.00000,4.00000,0.00000
169680.00000,1.02000,137.85950,339.36000,20986.61000,2.00000,0.00000,0.00000,0.00000,0.00000,543.06373,140.73960,2333.26896,-2.25131,132.43250,1.40745,3.70500,56.50119,0.00000,1.00000,146.48160,0.00000,0.00000,0.00000,4.00000,0.00000
169690.00000,1.04000,140.78920,339.38000,20987.43000,2.00000,0.00000,0.00000,0.00000,0.00000,543.63365,140.77780,2332.75663,-2.28186,132.48990,1.40772,3.42000,56.50119,0.00000,1.00000,146.48160,0.00000,0.00000,0.00000,4.00000,0.00000
169700.00000,1.06000,143.76790,339.40000,20988.26000,2.00000,0.00000,0.00000,0.00000,0.00000,544.20244,140.81750,2332.24339,-2.33292,132.54540,1.42282,3.31500,56.50119,0.00000,1.00000,148.93710,0.00000,0.00000,0.00000,4.00000,0.00000
169710.00000,1.08000,146.74660,339.42000,20989.09000,2.00000,0.00000,0.00000,0.00000,0.00000,544.77047,140.85820,2331.72881,-2.38797,132.59540,1.42869,3.24000,56.50119,0.00000,1.00000,148.93710,0.00000,0.00000,0.00000,4.00000,0.00000
169720.00000,1.10000,149.72540,339.44000,20989.92000,2.00000,0.00000,0.00000,0.00000,0.00000,545.33877,140.89900,2331.21188,-2.42688,132.64470,1.44146,3.22500,56.50119,0.00000,1.00000,148.93710,0.00000,0.00000,0.00000,4.00000,0.00000
