FRAME,TIME,DISTANCE,TOTALTIME,TOTALDISTANCE,SEGMENTNUM,SECTOR,MARKERS,MARKERTIME,MARKERFLAG,POSITIONX,POSITIONY,POSITIONZ,ROTATIONX,ROTATIONY,ROTATIONZ,STEERINGANGLE,THROTTLE,BRAKEPRESSURE,GEAR,SPEED,RAWSTEER,RAWTHROTTLE,RAWBRAKE,AUTOMATICGEAR,AERODRSPOSITION
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,bar,,km/h,,,,,%
15390,0.7657,27.52917,30.78,299.93,1,0,0,0,0,535.4336,140.3097,2340.098,-2.16391,129.9713,0.7959,7.155,56.50119,0,1,138.0849,0,0,0,4,0
15400,0.7857,28.30871,30.8,300.7095,1,0,0,0,0,536.0243,140.3434,2339.589,-2.16412,130.2968,0.7865,7.185,56.50119,0,1,140.7481,0,0,0,4,0
15410,0.8057,29.09126,30.82,301.4921,1,0,0,0,0,536.6149,140.3765,2339.075,-2.13553,130.6142,0.81395,7.23,56.50119,0,1,140.7481,0,0,0,4,0
15420,0.8257,29.87648,30.84,302.2773,1,0,0,0,0,537.2053,140.4088,2338.557,-2.08511,130.9086,0.87573,7.23,56.50119,0,1,140.7481,0,0,0,4,0
15430,0.8457,30.66485,30.86,303.0656,1,0,0,0,0,537.7961,140.4418,2338.035,-2.06412,131.1862,0.96306,7.23,56.50119,0,1,140.7481,0,0,0,4,0
15440,0.8657,31.45589,30.88,303.8567,1,0,0,0,0,538.3879,140.4746,2337.51,-2.04211,131.4283,1.02489,7.08,56.50119,0,1,140.7481,0,0,0,4,0
15450,0.8857,32.24975,30.9,304.6505,1,0,0,0,0,538.9806,140.5081,2336.981,-2.04788,131.6423,1.08091,6.87,56.50119,0,1,143.3274,0,0,0,4,0
15460,0.9057,33.04662,30.92,305.4474,1,0,0,0,0,539.5742,140.5419,2336.449,-2.073,131.83,1.16876,6.57,56.50119,0,1,143.3274,0,0,0,4,0
15470,0.9257,33.84653,30.94,306.2473,1,0,0,0,0,540.1693,140.5764,2335.914,-2.10696,131.9803,1.21344,6.12,56.50119,0,1,143.3274,0,0,0,4,0
15480,0.9457,34.64925,30.96,307.05,1,0,0,0,0,540.7653,140.6115,2335.376,-2.1488,132.1112,1.25242,5.55,56.50119,0,1,143.3274,0,0,0,4,0
15490,0.9657,35.45476,30.98,307.8556,1,0,0,0,0,541.3627,140.6467,2334.835,-2.17926,132.2154,1.2728,5.025,56.50119,0,1,143.3274,0,0,0,4,0
15500,0.9857,36.26285,31,308.6636,1,0,0,0,0,541.961,140.6824,2334.292,-2.21057,132.3006,1.36156,4.365,56.50119,0,1,145.8819,0,0,0,4,0
15510,1.0057,37.07399,31.02,309.4748,1,0,0,0,0,542.5609,140.719,2333.745,-2.23502,132.3716,1.37746,3.915,56.50119,0,1,145.8819,0,0,0,4,0
15520,1.0257,37.88774,31.04,310.2885,1,0,0,0,0,543.1623,140.7564,2333.196,-2.26221,132.4263,1.39295,3.585,56.50119,0,1,145.8819,0,0,0,4,0
15530,1.0457,38.70441,31.06,311.1052,1,0,0,0,0,543.765,140.7948,2332.645,-2.29929,132.4829,1.39329,3.36,56.50119,0,1,145.8819,0,0,0,4,0
15540,1.0657,39.5238,31.08,311.9246,1,0,0,0,0,544.3689,140.8347,2332.091,-2.35571,132.5374,1.41842,3.27,56.50119,0,1,145.8819,0,0,0,4,0
15550,1.0857,40.3457,31.1,312.7465,1,0,0,0,0,544.9742,140.8752,2331.534,-2.40555,132.5917,1.42066,3.21,56.50119,0,1,148.341,0,0,0,4,0
15560,1.1057,41.17033,31.12,313.5711,1,0,0,0,0,545.5807,140.9155,2330.975,-2.43768,132.6458,1.44188,3.255,56.50119,0,1,148.341,0,0,0,4,0
15570,1.1257,41.99743,31.14,314.3982,1,0,0,0,0,546.1885,140.9554,2330.414,-2.44449,132.7069,1.41742,3.48,56.50119,0,1,148.341,0,0,0,4,0
15580,1.1457,42.82693,31.16,315.2277,1,0,0,0,0,546.7972,140.995,2329.85,-2.42596,132.7743,1.41148,3.765,56.50119,0,1,148.341,0,0,0,4,0
15590,1.1657,43.65916,31.18,316.06,1,0,0,0,0,547.407,141.0346,2329.283,-2.3971,132.8455,1.41453,4.05,56.50119,0,1,148.341,0,0,0,4,0
15600,1.1857,44.49415,31.2,316.895,1,0,0,0,0,548.0182,141.0744,2328.714,-2.37946,132.9146,1.42015,4.35,56.50119,0,1,150.7303,0,0,0,4,0
15610,1.2057,45.33192,31.22,317.7327,1,0,0,0,0,548.6306,141.1145,2328.142,-2.38141,132.9901,1.4328,4.575,56.50119,0,1,150.7303,0,0,0,4,0
15620,1.2257,46.17214,31.24,318.5729,1,0,0,0,0,549.2438,141.1549,2327.567,-2.38821,133.0763,1.46733,4.8,56.50119,0,1,150.7303,0,0,0,4,0
15630,1.2457,47.01499,31.26,319.4158,1,0,0,0,0,549.8579,141.1947,2326.99,-2.38867,133.1707,1.48786,4.98,56.50119,0,1,150.7303,0,0,0,4,0
15640,1.2657,47.86053,31.28,320.2613,1,0,0,0,0,550.4734,141.2343,2326.409,-2.38269,133.2578,1.49046,5.1,56.50119,0,1,150.7303,0,0,0,4,0
15650,1.2857,48.70832,31.3,321.1091,1,0,0,0,0,551.0895,141.2742,2325.827,-2.37991,133.3495,1.53429,5.175,56.50119,0,1,153.0654,0,0,0,4,0
15660,1.3057,49.55892,31.32,321.9597,1,0,0,0,0,551.7066,141.3146,2325.241,-2.3829,133.4433,1.58525,5.175,56.50119,0,1,153.0654,0,0,0,4,0
15670,1.3257,50.41225,31.34,322.813,1,0,0,0,0,552.3248,141.3556,2324.652,-2.40283,133.5374,1.59077,5.175,56.50119,0,1,153.0654,0,0,0,4,0
15680,1.3457,51.26814,31.36,323.6689,1,0,0,0,0,552.9442,141.3974,2324.061,-2.43585,133.6306,1.57371,5.175,56.50119,0,1,153.0654,0,0,0,4,0
15690,1.3657,52.12645,31.38,324.5273,1,0,0,0,0,553.5638,141.4408,2323.467,-2.48697,133.7298,1.61922,5.175,56.50119,0,1,153.0654,0,0,0,4,0
15700,1.3857,52.98736,31.4,325.3882,1,0,0,0,0,554.1842,141.4857,2322.87,-2.56195,133.8367,1.596,5.175,56.50119,0,1,155.3307,0,0,0,4,0
15710,1.4057,53.85058,31.42,326.2514,1,0,0,0,0,554.8055,141.5314,2322.27,-2.63315,133.9342,1.54314,5.175,56.50119,0,1,155.3307,0,0,0,4,0
15720,1.4257,54.71603,31.44,327.1168,1,0,0,0,0,555.4274,141.5771,2321.668,-2.6799,134.0306,1.4936,5.175,56.50119,0,1,155.3307,0,0,0,4,0
15730,1.4457,55.58377,31.46,327.9846,1,0,0,0,0,556.0498,141.6221,2321.063,-2.67563,134.1255,1.46996,5.175,56.50119,0,1,155.3307,0,0,0,4,0
15740,1.4657,56.45387,31.48,328.8547,1,0,0,0,0,556.6729,141.6659,2320.455,-2.61935,134.2232,1.40894,5.25,56.50119,0,1,155.3307,0,0,0,4,0
15750,1.4857,57.32624,31.5,329.7271,1,0,0,0,0,557.2966,141.7093,2319.845,-2.55197,134.322,1.36445,5.385,56.50119,0,1,157.5329,0,0,0,4,0
15760,1.5057,58.20101,31.52,330.6018,1,0,0,0,0,557.9209,141.7529,2319.232,-2.49728,134.4242,1.33073,5.535,56.50119,0,1,157.5329,0,0,0,4,0
15770,1.5257,59.0784,31.54,331.4792,1,0,0,0,0,558.5457,141.797,2318.615,-2.47827,134.534,1.3264,5.685,56.50119,0,1,157.5329,0,0,0,4,0
15780,1.5457,59.95854,31.56,332.3593,1,0,0,0,0,559.1714,141.8415,2317.996,-2.49609,134.6476,1.33666,5.835,56.50119,0,1,157.5329,0,0,0,4,0
15790,1.5657,60.84079,31.58,333.2416,1,0,0,0,0,559.7977,141.8857,2317.375,-2.52057,134.7571,1.33771,5.925,56.50119,0,1,157.5329,0,0,0,4,0
15800,1.5857,61.72546,31.6,334.1263,1,0,0,0,0,560.4246,141.9292,2316.75,-2.52994,134.8694,1.34717,5.97,56.50119,0,1,159.6809,0,0,0,4,0
15810,1.6057,62.61258,31.62,335.0134,1,0,0,0,0,561.0518,141.9726,2316.122,-2.53064,134.9816,1.369,5.895,56.50119,0,1,159.6809,0,0,0,4,0
15820,1.6257,63.50208,31.64,335.9029,1,0,0,0,0,561.6794,142.0161,2315.491,-2.52518,135.0905,1.40485,5.61,56.50119,0,1,159.6809,0,0,0,4,0
15830,1.6457,64.39391,31.66,336.7947,1,0,0,0,0,562.3077,142.0605,2314.858,-2.52963,135.198,1.40627,5.325,56.50119,0,1,159.6809,0,0,0,4,0
15840,1.6657,65.28829,31.68,337.6891,1,0,0,0,0,562.9368,142.1059,2314.222,-2.55374,135.3,1.37913,4.905,56.50119,0,1,159.6809,0,0,0,4,0
15850,1.6857,66.18488,31.7,338.5857,1,0,0,0,0,563.5664,142.1519,2313.583,-2.57855,135.3942,1.36703,4.47,56.50119,0,1,161.7895,0,0,0,4,0
15860,1.7057,67.08369,31.72,339.4845,1,0,0,0,0,564.1964,142.198,2312.942,-2.5914,135.4855,1.37773,4.125,56.50119,0,1,161.7895,0,0,0,4,0
15870,1.7257,67.9845,31.74,340.3853,1,0,0,0,0,564.8271,142.244,2312.299,-2.58777,135.574,1.35085,3.975,56.50119,0,1,161.7895,0,0,0,4,0
15880,1.7457,68.8877,31.76,341.2885,1,0,0,0,0,565.4581,142.2896,2311.652,-2.56479,135.6657,1.34209,3.84,56.50119,0,1,161.7895,0,0,0,4,0
15890,1.7657,69.79328,31.78,342.1941,1,0,0,0,0,566.0898,142.3352,2311.003,-2.54117,135.7521,1.33928,3.84,56.50119,0,1,161.7895,0,0,0,4,0
15900,1.7857,70.701,31.8,343.1018,1,0,0,0,0,566.7223,142.3809,2310.351,-2.52606,135.8315,1.34142,3.93,56.50119,0,1,163.8388,0,0,0,4,0
15910,1.8057,71.61107,31.82,344.0119,1,0,0,0,0,567.3553,142.4264,2309.697,-2.51727,135.915,1.37337,4.125,56.50119,0,1,163.8388,0,0,0,4,0
15920,1.8257,72.52359,31.84,344.9244,1,0,0,0,0,567.9888,142.4722,2309.04,-2.52274,136.0103,1.39269,4.47,56.50119,0,1,163.8388,0,0,0,4,0
15930,1.8457,73.43826,31.86,345.8391,1,0,0,0,0,568.6226,142.5179,2308.38,-2.52686,136.1124,1.3953,4.98,56.50119,0,1,163.8388,0,0,0,4,0
15940,1.8657,74.35538,31.88,346.7562,1,0,0,0,0,569.2568,142.5641,2307.718,-2.54852,136.2133,1.43776,5.355,56.50119,0,1,163.8388,0,0,0,4,0
15950,1.8857,75.27438,31.9,347.6752,1,0,0,0,0,569.8913,142.6107,2307.052,-2.57077,136.3121,1.48111,5.88,56.50119,0,1,165.8494,0,0,0,4,0
15960,1.9057,76.19563,31.92,348.5964,1,0,0,0,0,570.5262,142.6579,2306.385,-2.5976,136.4192,1.49537,6.42,56.50119,0,1,165.8494,0,0,0,4,0
15970,1.9257,77.11918,31.94,349.52,1,0,0,0,0,571.1609,142.7053,2305.714,-2.6153,136.5298,1.53558,6.93,56.50119,0,1,165.8494,0,0,0,4,0
15980,1.9457,78.04464,31.96,350.4454,1,0,0,0,0,571.7959,142.7521,2305.04,-2.60278,136.6421,1.58348,7.44,56.50119,0,1,165.8494,0,0,0,4,0
15990,1.9657,78.97211,31.98,351.3729,1,0,0,0,0,572.4302,142.7991,2304.363,-2.58255,136.7798,1.62607,7.89,56.50119,0,1,165.8494,0,0,0,4,0
16000,1.9857,79.90185,32,352.3026,1,0,0,0,0,573.0641,142.8468,2303.683,-2.56851,136.9305,1.65063,8.19,56.50119,0,1,167.7918,0,0,0,4,0
16010,2.0057,80.83359,32.02,353.2344,1,0,0,0,0,573.6979,142.895,2302.999,-2.57324,137.0795,1.67434,8.31,56.50119,0,1,167.7918,0,0,0,4,0
16020,2.0257,81.76776,32.04,354.1685,1,0,0,0,0,574.3318,142.9437,2302.313,-2.59641,137.2308,1.71075,8.31,56.50119,0,1,167.7918,0,0,0,4,0
16030,2.0457,82.70387,32.06,355.1047,1,0,0,0,0,574.9652,142.9929,2301.623,-2.62915,137.3893,1.72921,8.22,56.50119,0,1,167.7918,0,0,0,4,0
16040,2.0657,83.64256,32.08,356.0434,1,0,0,0,0,575.5984,143.0428,2300.93,-2.67001,137.5498,1.70248,7.785,56.50119,0,1,167.7918,0,0,0,4,0
16050,2.0857,84.58292,32.1,356.9837,1,0,0,0,0,576.2312,143.0936,2300.234,-2.72189,137.7096,1.6696,7.335,56.50119,0,1,169.6861,0,0,0,4,0
16060,2.1057,85.52532,32.12,357.9261,1,0,0,0,0,576.8636,143.1443,2299.535,-2.75586,137.855,1.64459,6.69,56.50119,0,1,169.6861,0,0,0,4,0
16070,2.1257,86.46981,32.14,358.8706,1,0,0,0,0,577.496,143.195,2298.833,-2.76776,137.9907,1.57431,6.075,56.50119,0,1,169.6861,0,0,0,4,0
16080,2.1457,87.41618,32.16,359.817,1,0,0,0,0,578.1282,143.2455,2298.129,-2.75043,138.1183,1.52024,5.625,56.50119,0,1,169.6861,0,0,0,4,0
16090,2.1657,88.3647,32.18,360.7655,1,0,0,0,0,578.7602,143.296,2297.421,-2.72653,138.2355,1.47363,5.325,56.50119,0,1,169.6861,0,0,0,4,0
16100,2.1857,89.3151,32.2,361.7159,1,0,0,0,0,579.392,143.3466,2296.711,-2.70252,138.3525,1.40067,5.265,56.50119,0,1,171.5491,0,0,0,4,0
16110,2.2057,90.26765,32.22,362.6685,1,0,0,0,0,580.0237,143.3972,2295.998,-2.6842,138.4628,1.3818,5.265,56.50119,0,1,171.5491,0,0,0,4,0
16120,2.2257,91.22236,32.24,363.6232,1,0,0,0,0,580.6555,143.4476,2295.282,-2.66724,138.5695,1.38336,5.295,56.50119,0,1,171.5491,0,0,0,4,0
16130,2.2457,92.17882,32.26,364.5796,1,0,0,0,0,581.287,143.4973,2294.563,-2.64822,138.6864,1.36546,5.415,56.50119,0,1,171.5491,0,0,0,4,0
16140,2.2657,93.13758,32.28,365.5384,1,0,0,0,0,581.9185,143.5467,2293.842,-2.63159,138.8091,1.3324,5.67,56.50119,0,1,171.5491,0,0,0,4,0
16150,2.2857,94.09828,32.3,366.4991,1,0,0,0,0,582.5498,143.5952,2293.117,-2.60202,138.9346,1.3234,6.105,56.50119,0,1,173.3654,0,0,0,4,0
16160,2.3057,95.06073,32.32,367.4615,1,0,0,0,0,583.1807,143.6429,2292.39,-2.56751,139.0623,1.29442,6.48,56.50119,0,1,173.3654,0,0,0,4,0
16170,2.3257,96.02557,32.34,368.4264,1,0,0,0,0,583.8112,143.69,2291.659,-2.52255,139.1982,1.22433,6.795,56.50119,0,1,173.3654,0,0,0,4,0
16180,2.3457,96.99231,32.36,369.3931,1,0,0,0,0,584.4408,143.7371,2290.926,-2.48871,139.3463,1.20388,7.155,56.50119,0,1,173.3654,0,0,0,4,0
16190,2.3657,97.96097,32.38,370.3618,1,0,0,0,0,585.0698,143.7844,2290.189,-2.47333,139.4994,1.16442,7.53,56.50119,0,1,173.3654,0,0,0,4,0
16200,2.3857,98.93164,32.4,371.3324,1,0,0,0,0,585.6982,143.8325,2289.448,-2.48743,139.6611,1.12596,7.665,56.50119,0,1,175.1474,0,0,0,4,0
16210,2.4057,99.90478,32.42,372.3056,1,0,0,0,0,586.3254,143.881,2288.704,-2.51267,139.832,1.12293,7.815,56.50119,0,1,175.1474,0,0,0,4,0
16220,2.4257,100.8794,32.44,373.2802,1,0,0,0,0,586.9516,143.9299,2287.957,-2.54071,140.0172,1.07596,7.86,56.50119,0,1,175.1474,0,0,0,4,0
16230,2.4457,101.8563,32.46,374.257,1,0,0,0,0,587.5767,143.9783,2287.206,-2.54349,140.1995,1.00246,7.725,56.50119,0,1,175.1474,0,0,0,4,0
16240,2.4657,102.8348,32.48,375.2356,1,0,0,0,0,588.2004,144.0264,2286.452,-2.52307,140.3844,0.94146,7.44,56.50119,0,1,175.1474,0,0,0,4,0
